Department,Salary,Rating,Group
Operations,78279.88960135946,4,Mid
Operations,68305.19227148482,3,Senior
Operations,78816.3968614008,1,Mid
Operations,65673.45970750198,1,Entry
Operations,63913.61076482293,3,Mid
Operations,55710.66911564328,1,Mid
Operations,66211.41058978236,4,Mid
Operations,69768.53302950537,3,Mid
Operations,110725.70297598818,4,Entry
Operations,87408.54161486134,1,Mid
Operations,85865.3176689852,3,Entry
Operations,75917.34689903568,3,Mid
Operations,79364.47095206165,1,Mid
Operations,67394.87011094917,2,Entry
Operations,78633.70475897437,3,Mid
Operations,46183.488703005554,4,Senior
Operations,69492.62220069204,4,Mid
Operations,72249.98484748823,3,Senior
Operations,86339.94079165375,1,Mid
Operations,76301.46308368481,1,Senior
Operations,63055.10032005724,4,Mid
Operations,77517.19867013684,3,Mid
Operations,66664.54984407163,3,Mid
Operations,79019.0517806182,4,Mid
Operations,54765.72398541361,2,Mid
Operations,70372.96000185143,2,Entry
Operations,52094.38408769315,2,Mid
Operations,67448.06484148413,1,Mid
Operations,45379.93658119338,4,Mid
Operations,63763.81175023076,5,Mid
Operations,92866.28782160215,2,Mid
Operations,62720.92460009882,1,Mid
Operations,78955.34230604241,5,Entry
Operations,93333.4156253226,2,Entry
Operations,83615.36988436733,3,Senior
Operations,69520.93121088749,3,Mid
Operations,38914.30885685532,2,Mid
Operations,85766.48113687235,3,Entry
Operations,83567.37055225183,4,Mid
Operations,83451.77898593248,2,Mid
Operations,56746.54934489749,2,Mid
Operations,95450.6477030751,1,Mid
Operations,64695.953730836234,1,Mid
Operations,95889.82332426077,1,Mid
Operations,61527.85683242194,4,Senior
Operations,62721.01950913797,4,Mid
Operations,53250.366023974406,2,Senior
Operations,70265.08126497775,1,Entry
Operations,59822.94718486842,5,Mid
Operations,87157.462487254,3,Entry
Operations,70913.84975094469,1,Mid
Operations,93505.8641750429,5,Mid
Operations,73751.74694649012,4,Entry
Operations,92243.86034547939,1,Mid
Operations,81691.59543761861,5,Senior
Operations,60962.09666816447,2,Senior
Operations,58161.21091574635,2,Entry
Operations,72261.12183328433,4,Mid
Operations,81704.69334181881,2,Mid
Operations,84983.77414600195,4,Mid
Operations,75722.86744417826,4,Mid
Operations,59775.46751523436,1,Entry
Operations,73929.87454064483,5,Entry
Operations,87768.68672594117,3,Mid
Operations,108360.6716803245,4,Entry
Operations,99564.78762598682,2,Entry
Operations,95944.9591116228,4,Mid
Operations,75774.3975421563,2,Entry
Operations,86997.09439230234,2,Mid
Operations,49508.71582353476,5,Mid
Operations,92047.05762550556,2,Mid
Operations,61312.38338408947,2,Senior
Operations,77513.55158701485,5,Mid
Operations,92433.893962585,4,Mid
Operations,69767.95267690538,1,Entry
Operations,45627.36856675481,5,Entry
Operations,64651.26032956613,3,Mid
Operations,75626.60486047369,3,Mid
Operations,83672.8784258338,1,Mid
Operations,82863.00312614204,5,Mid
Operations,77349.8033490561,1,Mid
Operations,68713.83141084532,1,Entry
Operations,72644.44964111055,2,Senior
Operations,102801.16196849743,2,Senior
Operations,84131.03383686625,2,Mid
Operations,66643.04141141653,4,Senior
Operations,86432.2757047805,5,Mid
Operations,68195.41726624854,2,Senior
Operations,69000.26958256635,3,Mid
Operations,59547.866021657566,3,Senior
Operations,55039.42303003611,5,Mid
Operations,42330.48401707968,4,Entry
Operations,91381.54441529,1,Senior
Operations,52853.04537567297,2,Entry
Operations,78039.96246695193,2,Mid
